2021-03-19 00:38:44.988839: Observing: GPS-BIIF-3---PRN-24-
2021-03-19 02:45:04.437719 [0.0, 0.0]
2021-03-19 02:45:35.401169 [1.1111111111111112, 0.0]
2021-03-19 02:46:09.558305 [4.444444444444445, 0.0]
2021-03-19 02:46:43.696071: Observing: GPS-BIIRM-5--PRN-29-
2021-03-19 02:46:43.696108: Az, el, state: 162.56, 40.55, Setting
2021-03-19 02:46:44.868023 [0.0, 4.444444444444445]
2021-03-19 02:47:21.525178 [0.0, 1.1111111111111112]
2021-03-19 02:47:55.435213 [0.0, 0.0]
2021-03-19 02:48:26.290743 [0.0, -1.1111111111111112]
2021-03-19 02:48:57.247446 [0.0, -4.444444444444445]
2021-03-19 02:49:31.436677 [-4.444444444444445, 0.0]
2021-03-19 02:50:08.346069 [-1.1111111111111112, 0.0]
2021-03-19 02:50:40.398592 [0.0, 0.0]
2021-03-19 02:51:14.340401 [1.1111111111111112, 0.0]
2021-03-19 02:51:45.450072 [4.444444444444445, 0.0]
2021-03-19 02:52:19.454797 [0.0, 4.444444444444445]
2021-03-19 02:52:53.349411 [0.0, 1.1111111111111112]
2021-03-19 02:53:30.534506 [0.0, 0.0]
2021-03-19 02:54:01.565454 [0.0, -1.1111111111111112]
2021-03-19 02:54:35.320542 [0.0, -4.444444444444445]
2021-03-19 02:55:09.504806 [-4.444444444444445, 0.0]
2021-03-19 02:55:46.505844 [-1.1111111111111112, 0.0]
2021-03-19 02:56:17.427335 [0.0, 0.0]
2021-03-19 02:56:48.266120 [1.1111111111111112, 0.0]
2021-03-19 02:57:19.411608 [4.444444444444445, 0.0]
2021-03-19 02:57:50.787376: Observing: GPS-BIIRM-3--PRN-12-
2021-03-19 02:57:50.787415: Az, el, state: 163.60, 35.21, Setting
2021-03-19 02:57:51.789163 [0.0, 4.444444444444445]
2021-03-19 02:58:28.272421 [0.0, 1.1111111111111112]
2021-03-19 02:59:02.323989 [0.0, 0.0]
2021-03-19 02:59:36.572712 [0.0, -1.1111111111111112]
2021-03-19 03:00:10.507610 [0.0, -4.444444444444445]
2021-03-19 03:00:44.296017 [-4.444444444444445, 0.0]
2021-03-19 03:01:21.503446 [-1.1111111111111112, 0.0]
2021-03-19 03:01:52.431599 [0.0, 0.0]
2021-03-19 03:02:26.335402 [1.1111111111111112, 0.0]
2021-03-19 03:02:57.496355 [4.444444444444445, 0.0]
2021-03-19 03:03:31.500877 [0.0, 4.444444444444445]
2021-03-19 03:04:05.436835 [0.0, 1.1111111111111112]
2021-03-19 03:04:39.539176 [0.0, 0.0]
2021-03-19 03:05:13.353618 [0.0, -1.1111111111111112]
2021-03-19 03:05:47.288202 [0.0, -4.444444444444445]
2021-03-19 03:06:21.304835 [-4.444444444444445, 0.0]
2021-03-19 03:06:58.447651 [-1.1111111111111112, 0.0]
2021-03-19 03:07:32.397763 [0.0, 0.0]
2021-03-19 03:08:03.350712 [1.1111111111111112, 0.0]
2021-03-19 03:08:34.359946 [4.444444444444445, 0.0]
2021-03-19 03:09:05.712332: Observing: GPS-BIII-2---PRN-18-
2021-03-19 03:09:05.712370: Az, el, state: 164.48, 29.93, Setting
2021-03-19 03:09:06.793156 [0.0, 4.444444444444445]
2021-03-19 03:09:40.396017 [0.0, 1.1111111111111112]
2021-03-19 03:10:14.413417 [0.0, 0.0]
2021-03-19 03:10:48.498145 [0.0, -1.1111111111111112]
2021-03-19 03:11:22.426441 [0.0, -4.444444444444445]
2021-03-19 03:11:56.371798 [-4.444444444444445, 0.0]
2021-03-19 03:12:30.549403 [-1.1111111111111112, 0.0]
2021-03-19 03:13:05.350353 [0.0, 0.0]
2021-03-19 03:13:39.299796 [1.1111111111111112, 0.0]
2021-03-19 03:14:10.380592 [4.444444444444445, 0.0]
2021-03-19 03:14:44.347351 [0.0, 4.444444444444445]
2021-03-19 03:15:18.549868 [0.0, 1.1111111111111112]
2021-03-19 03:15:53.357305 [0.0, 0.0]
